keys,en,zh_CN,zh_TW,ja
locMessageScreenshot,"Screenshot saved to ""{ScreenshotDirectory}""",截图已保存至“{ScreenshotDirectory}”,截屏已儲存至“{ScreenshotDirectory}”,スクリーンショットがに保存されました“{ScreenshotDirectory}”
locMessageScreenshotFailed,"Save to ""{ScreenshotDirectory}"" failed, Error code: ",保存到“{ScreenshotDirectory}”失败，错误码：,儲存到“{ScreenshotDirectory}”失敗，錯誤代號：,“{ScreenshotDirectory}”への保存に失敗しました、エラーコード：
locMessageFolder,"Opened ""{Directory}""",已打开“{Directory}”,已開啟“{Directory}”,“{Directory}”が開いています
locMessageFolderFailed,"Open ""{Directory}"" failed, Error code: ",打开“{Directory}”失败，错误码：,開啟“{Directory}”失敗，錯誤代號：,“{Directory}”オープンに失敗しました、エラーコード：

locSettings,Settings,游戏设置,遊戲設定,ゲームの設定
locQuit,Quit,退出游戏,退出遊戲,ゲームを終了

locLanguage,Language,语言,語言,言語
locLanguageDisplay,Display Language,显示语言,視訊語言,表示言語
locLanguageAudio,Audio Language,语音语言,音訊語言,音声言語
locDisplayMode,Display Mode,显示模式,顯示模式,ディスプレイモード
locWindowed,Windowed,窗口化,視窗化,ウィンドウ化
locFullscreen,Fullscreen,全屏,全熒幕,全画面
locWindowedFull,Windowed Fullscreen,窗口化全屏,視窗化全熒幕,ウィンドウ化全画面
locResolution,Window Size,窗口大小,視窗尺寸,ウィンドウサイズ
locFpsLimit,FPS Limit,FPS 限制,FPS 限制,FPS 制限
locRefreshRate,Refresh Rate,刷新率,刷新率,リフレッシュレート
locUnlimited,Unlimited,无限制,無限制,制限なし
locVSync,V-Sync,垂直同步,垂直同步,垂直同期
locVolume,Master Volume,主音量,主音量,しゅおんりょう
locUseHDR,Use HDR (Experimental),使用 HDR (实验性),使用 HDR (實驗性),HDRを使用 (実験)
locControl,Control Options,控制选项,操縱選項,コントロールのオプション
locBack,Back,返回,返回,戻る
locSaveBack,Save & Back,保存并返回,儲存並返回,保存して戻る
locOpenScreenshotsFolder,Open Screenshots Folder,打开截图文件夹,開啟截屏資料夾,スクリーンショットフォルダを開く
locContinue,Continue,继续,繼續,続ける
locOpenModsFolder,Open Mods Folder,打开 Mod 文件夹,開啟 Mod 資料夾,Modsフォルダを開く
locOpenLocsFolder,Open Locale Folder,打开本地化文件夹,開啟在地化資料夾,翻訳フォルダを開く
locLoad,Load,载入,載入,ロード
locOnlyMainMenu,This setting is only available in Main Menu,此设置仅在主菜单可用,此設定僅在主選單可用,この設定はメインメニューでのみ使用できます
locNotInEmbedded,This setting is not available when embedded in Godot editor,此设置在内嵌于 Godot 编辑器内时不可用,此設定在內嵌於 Godot 編輯器內時不可用,Godotエディタに埋め込まれている場合、\nこの設定は使用できません
locNotForOS,This setting is not available in your OS,此设置在你的操作系统中不可用,此設定在你的作業系統中不可用,この設定はあなたのオペレーティングシステムでは使用できません

locControlMode,Control Mode,操作模式,操縱模式,制御モード
locKeyboardMouse,Keyboard + Mouse,键盘 + 鼠标,鍵盤 + 滑鼠,キーボード　+　マウス
locController,Controller(WIP),手柄(WIP),手柄(WIP),コントローラー(WIP)
locVirturalController,Virtural Controller(WIP),虚拟控制器(WIP),虛擬控制器(WIP),仮想コントローラ(WIP)
locKeybinds,Keybinds,按键绑定,按鍵綁定,鍵のバインド
locWaitingForInput,Waiting For Input...,等待输入按键...,等待輸入按鍵...,待ち入力鍵...
locResetDefault,Reset to Default,重置为默认,重設為預設,デフォルトにリセット
locResetAllDefault,Reset all to default,全部重置为默认,全部重設為預設,すべてデフォルトにリセット
locResetAllDefaultConfirm,Are you sure you want to reset all keybinds to default?,你确定你想要重置所有按键为默认值吗？,你確定你想要重設所有按鍵為預設值嗎？,本当にすべてのバインドのキーをデフォルトにリセットしたいですか？
locAddKey,Add Key,添加按键,添加按鍵,鍵の追加
locEditKey,Edit Key,编辑按键,編輯按鍵,鍵の編集
locRemoveKey,Remove Key,移除按键,移除按鍵,鍵の削除

locKeyScreenshot,Screenshot,屏幕截图,截屏,スクリーンショット
locKeyFullscreen,Windowed/Fullscreen,窗口化/全屏,視窗化/全熒幕,ウィンドウ化/全画面
